Product2Id,ProductSellingModelId,IsDefault
01tdp000006HfphAAC,0jPdp00000000zREAQ,True
01tdp000006HfpiAAC,0jPdp00000000zREAQ,True
01tdp000006HfpjAAC,0jPdp00000000zREAQ,True
01tdp000006HfpkAAC,0jPdp00000000zREAQ,True
01tdp000006HfplAAC,0jPdp00000000zREAQ,True
01tdp000006HfpmAAC,0jPdp00000000zREAQ,True
01tdp000006HfpnAAC,0jPdp00000000zREAQ,True
01tdp000006HfpoAAC,0jPdp00000000zREAQ,True
01tdp000006HfppAAC,0jPdp00000000zREAQ,True
01tdp000006HfpqAAC,0jPdp00000000zREAQ,True
01tdp000006HfprAAC,0jPdp00000000zREAQ,True
01tdp000006HfpsAAC,0jPdp00000000zREAQ,True
01tdp000006HfptAAC,0jPdp00000000zREAQ,True
01tdp000006HfpuAAC,0jPdp00000000zREAQ,True
01tdp000006HfpvAAC,0jPdp00000000zREAQ,True
01tdp000006HfpwAAC,0jPdp00000000zREAQ,True
01tdp000006HfpxAAC,0jPdp00000000zREAQ,True
01tdp000006HfpyAAC,0jPdp00000000zREAQ,True
01tdp000006HfpzAAC,0jPdp00000000zREAQ,True
01tdp000006Hfq0AAC,0jPdp00000000zREAQ,True
01tdp000006Hfq1AAC,0jPdp00000000zREAQ,True
01tdp000006JEGjAAO,0jPdp00000000zREAQ,True
01tdp000006JEGkAAO,0jPdp00000000zREAQ,True
01tdp000006JEGlAAO,0jPdp00000000zREAQ,True
01tdp000006JIVdAAO,0jPdp00000000zREAQ,True
01tdp000006iM1fAAE,0jPdp00000000zREAQ,True
01tdp000006iM1gAAE,0jPdp00000000zREAQ,True
01tdp000006iM1hAAE,0jPdp00000000zREAQ,True
01tdp000006iM1hAAE,0jPdp00000000zNEAQ,True
01tdp000006iM1iAAE,0jPdp00000000zNEAQ,True
01tdp000006iM1jAAE,0jPdp00000000zNEAQ,True
01tdp000006iM1kAAE,0jPdp00000000zNEAQ,True
01tdp000006iM1lAAE,0jPdp00000000zNEAQ,True
01tdp000006iM1mAAE,0jPdp00000000zNEAQ,True
