"sf__Id","sf__Error",ProductCategoryId,ProductId
"","MALFORMED_ID:Category ID: id value of incorrect type: 0ZGdp00000007JFFAY:ProductCategoryId --","0ZGdp00000007JFFAY","01tdp000006HfptAAC"
"","MALFORMED_ID:Category ID: id value of incorrect type: 0ZGdp00000007JFFAY:ProductCategoryId --","0ZGdp00000007JFFAY","01tdp000006HfpuAAC"
"","MALFORMED_ID:Category ID: id value of incorrect type: 0ZGdp00000007JFFAY:ProductCategoryId --","0ZGdp00000007JFFAY","01tdp000006HfpsAAC"
