"sf__Id","sf__Error",Id,Pricebook2Id,Product2Id,UnitPrice,IsActive,UseStandardPrice,ProductSellingModelId
"","FIELD_INTEGRITY_EXCEPTION:Couldn’t save this price book entry. When an active price book entry is related to a product and a product selling model, the product and product selling model must be active.:--","","01sa5000001vuxlAAA","01tdp000006HfphAAC","5000.0","true","false","0jPdp00000000zREAQ"
"","DUPLICATE_VALUE:This price definition already exists in this price book:--","","01sa5000001vuxlAAA","01tdp000006iM1hAAE","0.0","true","false","0jPdp00000000zREAQ"
