"sf__Id","sf__Error",Id,Pricebook2Id,Product2Id,UnitPrice,IsActive,UseStandardPrice,ProductSellingModelId
"","DUPLICATE_VALUE:This price definition already exists in this price book:--","","01sa5000001vuxlAAA","01tdp000006JEGlAAO","5000.0","true","false","0jPdp00000000zREAQ"
"","DUPLICATE_VALUE:This price definition already exists in this price book:--","","01sa5000001vuxlAAA","01tdp000006iM1hAAE","0.0","true","false","0jPdp00000000zREAQ"
