Id,Name,Code,Description,CatalogType,EffectiveStartDate,EffectiveEndDate,NumberOfCategories
0ZSdp00000007kfGAA,Cyber,Cyber,,,,,
0ZSdp00000007kgGAA,Tech,Tech,,,,,
0ZSdp00000007mHGAQ,AB Test Catalog,,,,,,
